City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,krasnopillya,50.7746,35.2597,13.77,85,50,3.23,UA,06-21-2024
80,port mathurin,-19.6833,63.4167,23.0,63,99,9.66,MU,06-21-2024
81,colchani,-20.3,-66.9333,4.99,42,7,4.45,BO,06-21-2024
82,isafjordur,66.0755,-23.124,3.7,78,80,4.04,IS,06-21-2024
83,alta,69.9689,23.2717,10.59,82,75,5.14,NO,06-21-2024
84,kenai,60.5544,-151.2583,21.68,40,0,4.63,US,06-21-2024
85,rikaze,29.25,88.8833,13.63,49,2,1.79,CN,06-21-2024
86,boa vista,2.8197,-60.6733,28.99,70,75,1.54,BR,06-21-2024
87,uturoa,-16.7333,-151.4333,26.96,64,95,5.92,PF,06-21-2024
88,utrik,11.2278,169.8474,28.46,76,100,7.47,MH,06-21-2024
89,longyearbyen,78.2186,15.6401,6.91,70,0,5.66,SJ,06-21-2024
90,kerikeri,-35.2268,173.9474,13.86,90,97,3.25,NZ,06-21-2024
91,san luis de la loma,17.2706,-100.8939,25.7,91,100,3.99,MX,06-21-2024
92,puerto ayora,-0.7393,-90.3518,24.98,92,78,3.58,EC,06-21-2024
93,motygino,58.1831,94.7592,11.6,64,100,1.78,RU,06-21-2024
94,kanoya,31.3833,130.85,26.55,96,100,2.12,JP,06-21-2024
95,avarua,-21.2078,-159.775,24.03,83,100,6.17,CK,06-21-2024
96,hamilton,39.1834,-84.5333,35.24,46,0,3.09,US,06-21-2024
97,hawaiian paradise park,19.5933,-154.9731,28.18,73,100,2.57,US,06-21-2024
98,udachny,66.4167,112.4,11.35,74,98,3.22,RU,06-21-2024
99,zaozersk,69.4005,32.4476,4.84,81,100,7.36,RU,06-21-2024
100,kuanda,56.3161,116.0806,19.75,53,52,0.92,RU,06-21-2024
101,ribeira grande,38.5167,-28.7,22.1,87,13,2.24,PT,06-21-2024
102,dedza,-14.3779,34.3332,9.47,74,0,1.34,MW,06-21-2024
103,princeville,45.7668,-61.2985,20.36,56,100,4.63,CA,06-21-2024
104,yankton,42.8711,-97.3973,28.4,78,100,5.14,US,06-21-2024
105,galle,6.0367,80.217,26.56,85,80,6.83,LK,06-21-2024
106,taroa,8.7058,171.2275,27.78,81,99,5.83,MH,06-21-2024
107,sheridan,44.8333,-106.9173,24.21,70,100,0.45,US,06-21-2024
108,puerto natales,-51.7236,-72.4875,0.25,74,75,1.54,CL,06-21-2024
109,guerrero negro,27.9769,-114.0611,21.49,66,100,7.1,MX,06-21-2024
110,amga,60.8953,131.9608,19.27,66,100,0.59,RU,06-21-2024
111,verkhnevilyuysk,63.4453,120.3167,17.69,79,14,3.07,RU,06-21-2024
112,olonkinbyen,70.9221,-8.7187,1.39,83,84,3.78,SJ,06-21-2024
113,shahrud,36.4182,54.9763,20.96,52,10,4.05,IR,06-21-2024
114,invercargill,-46.4,168.35,4.45,91,52,1.46,NZ,06-21-2024
115,novyy urengoy,66.0833,76.6333,4.4,68,97,3.29,RU,06-21-2024
116,levuka,50.1834,-105.4011,22.85,49,75,6.69,CA,06-21-2024
117,la passe,45.5549,-0.8967,17.13,75,100,6.04,FR,06-21-2024
118,comodoro rivadavia,-45.8667,-67.5,3.92,93,40,2.06,AR,06-21-2024
119,luderitz,-26.6481,15.1594,14.53,62,0,4.07,NA,06-21-2024
120,quellon,-43.1167,-73.6167,7.91,90,78,3.12,CL,06-21-2024
121,monrovia,6.3005,-10.7969,24.87,89,100,2.77,LR,06-21-2024
122,klichaw,53.4928,29.3352,13.23,86,1,1.81,BY,06-21-2024
123,kingston,17.997,-76.7936,31.53,62,60,8.75,JM,06-21-2024
124,afaahiti,-17.75,-149.2833,26.93,74,10,7.31,PF,06-21-2024
125,taoudenni,22.6783,-3.9836,39.48,8,10,5.55,ML,06-21-2024
126,sao paulo de olivenca,-3.3783,-68.8725,24.13,95,91,0.28,BR,06-21-2024
127,nouadhibou,20.931,-17.0347,20.99,73,2,8.23,MR,06-21-2024
128,eleskirt,39.8033,42.6736,11.64,71,0,3.27,TR,06-21-2024
129,hammerfest,70.6634,23.6821,9.25,100,75,4.12,NO,06-21-2024
130,bubaque,11.2833,-15.8333,26.94,83,2,6.15,GW,06-21-2024
131,katsuren-haebaru,26.3369,127.8719,29.21,88,20,6.69,JP,06-21-2024
132,hithadhoo,-0.6,73.0833,28.63,73,96,5.02,MV,06-21-2024
133,college,64.8569,-147.8028,22.99,49,75,7.72,US,06-21-2024
134,carauari,-4.8828,-66.8958,28.3,67,91,1.33,BR,06-21-2024
135,shakawe,-18.3667,21.85,13.99,37,0,2.75,BW,06-21-2024
136,wellington point,-27.4833,153.25,16.11,67,100,1.54,AU,06-21-2024
137,nova vicosa,-17.8919,-39.3719,23.06,75,0,2.94,BR,06-21-2024
138,arroyo,41.6096,-4.7969,20.08,67,0,0.51,ES,06-21-2024
139,enewetak,11.3474,162.3373,28.42,80,100,5.65,MH,06-21-2024
140,sur,22.5667,59.5289,33.83,52,33,5.04,OM,06-21-2024
141,abra pampa,-22.7205,-65.697,8.13,12,0,2.49,AR,06-21-2024
142,santa vitoria do palmar,-33.5189,-53.3681,16.54,96,42,3.36,BR,06-21-2024
143,cockburn town,21.4612,-71.1419,28.34,82,99,8.95,TC,06-21-2024
144,klyuchi,52.2667,79.1667,20.79,69,50,1.45,RU,06-21-2024
145,new norfolk,-42.7826,147.0587,5.95,95,20,1.28,AU,06-21-2024
146,klaksvik,62.2266,-6.589,10.51,93,100,9.53,FO,06-21-2024
147,vorgashor,67.5833,63.95,6.7,96,100,3.72,RU,06-21-2024
148,punta arenas,-53.15,-70.9167,-5.99,93,20,2.57,CL,06-21-2024
149,itacare,-14.2775,-38.9967,22.69,83,7,3.02,BR,06-21-2024
150,vernon,50.2581,-119.2691,30.52,18,1,1.54,CA,06-21-2024
151,talnakh,69.4865,88.3972,3.55,98,100,3.99,RU,06-21-2024
152,terbanggi besar,-4.8667,105.2333,23.24,92,100,2.43,ID,06-21-2024
153,bredasdorp,-34.5322,20.0403,13.2,84,35,4.79,ZA,06-21-2024
154,milton-freewater,45.9326,-118.3877,32.15,26,0,3.6,US,06-21-2024
155,belomorsk,64.5232,34.7668,7.61,97,100,1.68,RU,06-21-2024
156,kyren,51.6828,102.1408,7.76,75,96,0.52,RU,06-21-2024
157,wailua homesteads,22.0669,-159.378,28.24,91,100,6.69,US,06-21-2024
158,kirakira,-10.4544,161.9205,28.05,82,34,4.97,SB,06-21-2024
159,bykhaw,53.5193,30.2469,13.17,88,0,2.27,BY,06-21-2024
160,el hamma,33.8915,9.7963,23.62,76,0,5.77,TN,06-21-2024
161,saint-philippe,-21.3585,55.7679,19.77,84,46,5.75,RE,06-21-2024
162,rongelap,11.1635,166.8941,28.3,81,100,8.42,MH,06-21-2024
163,dwarka,22.2394,68.9678,29.88,78,100,6.4,IN,06-21-2024
164,cidreira,-30.1811,-50.2056,18.4,96,92,7.45,BR,06-21-2024
165,east london,-33.0153,27.9116,20.32,67,81,4.29,ZA,06-21-2024
166,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,100,100,2.0,RU,06-21-2024
167,port alfred,-33.5906,26.891,18.09,64,100,2.87,ZA,06-21-2024
168,miri,4.4148,114.0089,26.08,83,20,2.06,MY,06-21-2024
169,nanping,26.645,118.1736,25.14,93,90,1.39,CN,06-21-2024
170,filingue,14.3521,3.3168,33.63,40,61,8.05,NE,06-21-2024
171,ketchikan,55.3422,-131.6461,17.26,59,100,5.14,US,06-21-2024
172,horta,38.5333,-28.6333,21.68,87,29,2.24,PT,06-21-2024
173,igarka,67.4667,86.5833,4.9,82,44,2.14,RU,06-21-2024
174,tommot,58.9564,126.2925,17.35,72,44,0.68,RU,06-21-2024
175,harstad,68.799,16.5293,9.66,94,100,4.02,NO,06-21-2024
176,merizo village,13.2658,144.6691,28.32,89,100,6.31,GU,06-21-2024
177,aldinga beach,-35.2793,138.4604,8.95,88,23,2.77,AU,06-21-2024
178,fort-shevchenko,44.5086,50.263,23.98,67,81,5.22,KZ,06-21-2024
179,maumere,-8.6199,122.2111,24.74,86,59,3.09,ID,06-21-2024
180,sinabang,2.4803,96.3801,24.27,85,100,2.58,ID,06-21-2024
181,shingu,33.7333,135.9833,22.36,79,75,0.89,JP,06-21-2024
182,portland,45.5234,-122.6762,33.15,35,20,5.14,US,06-21-2024
183,holmsund,63.706,20.3641,12.19,71,0,1.54,SE,06-21-2024
184,bilibino,68.0546,166.4372,14.43,36,7,0.89,RU,06-21-2024
185,ola,59.5833,151.2833,8.48,94,100,1.36,RU,06-21-2024
186,jiaojiang,28.6803,121.4428,24.28,98,100,1.85,CN,06-21-2024
187,yuxia,34.0615,108.6291,23.34,33,85,2.77,CN,06-21-2024
188,ust-nera,64.5667,143.2,18.31,65,39,2.51,RU,06-21-2024
189,katsuura,35.1333,140.3,20.76,78,94,1.54,JP,06-21-2024
190,atar,20.5169,-13.0499,34.06,12,5,4.41,MR,06-21-2024
191,chamical,-30.36,-66.314,18.02,73,36,3.12,AR,06-21-2024
192,nar'yan-mar,67.6713,53.087,10.44,95,98,5.27,RU,06-21-2024
193,port lincoln,-34.7333,135.8667,12.85,70,90,4.05,AU,06-21-2024
194,guihing proper,6.6844,125.3525,24.6,84,54,1.39,PH,06-21-2024
195,alamosa,37.4695,-105.87,22.99,53,40,7.72,US,06-21-2024
196,whitehorse,60.7161,-135.0538,18.94,39,75,4.12,CA,06-21-2024
197,holualoa,19.6228,-155.9522,26.97,81,40,5.66,US,06-21-2024
198,anloga,5.7947,0.8973,25.43,87,100,5.65,GH,06-21-2024
199,kushima,31.4583,131.2333,25.06,96,100,0.78,JP,06-21-2024
200,zhangye,38.9342,100.4517,18.85,33,7,3.62,CN,06-21-2024
201,alofi,-19.0595,-169.9187,24.94,53,9,4.63,NU,06-21-2024
202,port saint john's,-31.6229,29.5448,20.44,40,4,3.33,ZA,06-21-2024
203,port hedland,-20.3167,118.5667,19.03,39,4,4.12,AU,06-21-2024
204,marka,1.7159,44.7717,25.58,83,52,7.69,SO,06-21-2024
205,walvis bay,-22.9575,14.5053,13.94,48,0,3.72,NA,06-21-2024
206,fale old settlement,-9.3852,-171.2468,28.54,78,99,4.9,TK,06-21-2024
207,bardai,11.65,7.2333,26.0,66,77,4.11,NG,06-21-2024
208,moreira sales,-24.0622,-53.0069,21.56,36,5,3.74,BR,06-21-2024
209,carnarvon,-24.8667,113.6333,20.59,63,60,2.07,AU,06-21-2024
210,mykhaylivka,47.2724,35.2224,18.12,65,0,3.01,UA,06-21-2024
211,jilib,0.4883,42.7854,23.39,87,74,3.17,SO,06-21-2024
212,marina di schiavonea,39.65,16.5333,30.07,44,0,3.48,IT,06-21-2024
213,alegrete,-29.7831,-55.7919,19.07,90,90,4.24,BR,06-21-2024
214,rumoi,43.9344,141.6428,17.06,95,99,1.71,JP,06-21-2024
215,puerto lempira,15.2667,-83.7667,27.08,74,75,0.0,HN,06-21-2024
216,gadzhiyevo,69.2551,33.3362,5.04,85,100,10.01,RU,06-21-2024
217,barah,13.7,30.3667,31.23,43,100,7.31,SD,06-21-2024
218,tindouf,27.6711,-8.1474,31.25,23,0,8.23,DZ,06-21-2024
219,ilulissat,69.2167,-51.1,8.01,66,40,2.57,GL,06-21-2024
220,goundam,16.4145,-3.6708,32.35,36,100,10.05,ML,06-21-2024
221,sinop,41.7711,34.8709,14.07,82,23,1.4,TR,06-21-2024
222,dudinka,69.4058,86.1778,3.99,82,100,2.95,RU,06-21-2024
223,fort bragg,35.139,-79.006,35.11,46,0,3.09,US,06-21-2024
224,amparafaravola,-17.5833,48.2167,12.45,97,36,1.9,MG,06-21-2024
225,praia da vitoria,38.7333,-27.0667,22.14,78,20,2.05,PT,06-21-2024
226,cabo san lucas,22.8909,-109.9124,27.01,74,40,4.63,MX,06-21-2024
